video_id,question_id,source_exam,category,hook,question,correct_answer,short_explanation,screenshot_unanswered,screenshot_revealed,cta,caption,hashtags
"sb01-001","se-13-06","13","signs","این تابلو رو می‌شناسی؟ 🚦","این تابلو بیانگر چیست؟","عبور گاری ممنوع","این تابلوی انتظامی «عبور گاری ممنوع» است و تردد گاری در آن مسیر مجاز نیست.","screenshots/se-13-06_unanswered.png","screenshots/se-13-06_revealed.png","تمرین رایگان آیین‌نامه در رانندگی‌یار: | ranandegiyar.info","این تابلو رو می‌شناسی؟ 🚦 |  | این تابلو بیانگر چیست؟ |  | ✅ پاسخ: عبور گاری ممنوع |  | تمرین رایگان آیین‌نامه در رانندگی‌یار: | ranandegiyar.info | #آیین_نامه #گواهینامه #رانندگی‌یار #آموزش_رانندگی #تابلو_رانندگی","#آیین_نامه #گواهینامه #رانندگی‌یار #آموزش_رانندگی #تابلو_رانندگی"
"sb01-002","se-03-13","3","rules","جوابش رو بلدی؟ 🤔","حداکثر سرعت در آزاد راه ها چند کیلومتر است؟","۱۲۰ کیلومتر","حداکثر سرعت مجاز در آزادراه‌ها ۱۲۰ کیلومتر در ساعت است.","screenshots/se-03-13_unanswered.png","screenshots/se-03-13_revealed.png","تمرین رایگان آیین‌نامه در رانندگی‌یار: | ranandegiyar.info","جوابش رو بلدی؟ 🤔 |  | حداکثر سرعت در آزاد راه ها چند کیلومتر است؟ |  | ✅ پاسخ: ۱۲۰ کیلومتر |  | تمرین رایگان آیین‌نامه در رانندگی‌یار: | ranandegiyar.info | #آیین_نامه #گواهینامه #رانندگی‌یار #آموزش_رانندگی #قوانین_رانندگی","#آیین_نامه #گواهینامه #رانندگی‌یار #آموزش_رانندگی #قوانین_رانندگی"
"sb01-003","se-01-17","1","vehicle","درباره‌ی خودروت چقدر می‌دونی؟ 🔧","سوئیچ چند حالت دارد؟","۴ حالت","سوئیچ خودرو چهار حالت دارد: بسته (قفل)، تجهیزات برقی، باز (روشن) و استارت.","screenshots/se-01-17_unanswered.png","screenshots/se-01-17_revealed.png","تمرین رایگان آیین‌نامه در رانندگی‌یار: | ranandegiyar.info","درباره‌ی خودروت چقدر می‌دونی؟ 🔧 |  | سوئیچ چند حالت دارد؟ |  | ✅ پاسخ: ۴ حالت |  | تمرین رایگان آیین‌نامه در رانندگی‌یار: | ranandegiyar.info | #آیین_نامه #گواهینامه #رانندگی‌یار #آموزش_رانندگی #فنی_خودرو","#آیین_نامه #گواهینامه #رانندگی‌یار #آموزش_رانندگی #فنی_خودرو"
"sb01-004","se-03-27","3","firstaid","تو این موقعیت چیکار می‌کنی؟ 🚑","در برخورد با یک مصدوم بیهوش مهم ترین اقدام چیست؟","باز کردن راه تنفسی و حفظ گردش خون","در برخورد با مصدوم بیهوش، مهم‌ترین اقدام باز نگه‌داشتن راه تنفسی و حفظ گردش خون اوست.","screenshots/se-03-27_unanswered.png","screenshots/se-03-27_revealed.png","تمرین رایگان آیین‌نامه در رانندگی‌یار: | ranandegiyar.info","تو این موقعیت چیکار می‌کنی؟ 🚑 |  | در برخورد با یک مصدوم بیهوش مهم ترین اقدام چیست؟ |  | ✅ پاسخ: باز کردن راه تنفسی و حفظ گردش خون |  | تمرین رایگان آیین‌نامه در رانندگی‌یار: | ranandegiyar.info | #آیین_نامه #گواهینامه #رانندگی‌یار #آموزش_رانندگی #کمک_های_اولیه","#آیین_نامه #گواهینامه #رانندگی‌یار #آموزش_رانندگی #کمک_های_اولیه"
"sb01-005","se-01-03","1","signs","این تابلو رو می‌شناسی؟ 🚦","نام این تابلو چیست؟","گردش به راست ممنوع","دایرهٔ قرمز نشانهٔ ممنوعیت است و پیکانِ رو به راستِ خط‌خورده یعنی گردش به راست ممنوع.","screenshots/se-01-03_unanswered.png","screenshots/se-01-03_revealed.png","تمرین رایگان آیین‌نامه در رانندگی‌یار: | ranandegiyar.info","این تابلو رو می‌شناسی؟ 🚦 |  | نام این تابلو چیست؟ |  | ✅ پاسخ: گردش به راست ممنوع |  | تمرین رایگان آیین‌نامه در رانندگی‌یار: | ranandegiyar.info | #آیین_نامه #گواهینامه #رانندگی‌یار #آموزش_رانندگی #تابلو_رانندگی","#آیین_نامه #گواهینامه #رانندگی‌یار #آموزش_رانندگی #تابلو_رانندگی"
"sb01-006","se-01-10","1","rules","جوابش رو بلدی؟ 🤔","مفهوم خط منقطع چیست؟","حرکت با احتیاط و در صورت لزوم توقف می‌نماییم","خط منقطع عبور را به‌کلی ممنوع نمی‌کند؛ یعنی باید با احتیاط حرکت کرد و هر جا لازم شد توقف نمود.","screenshots/se-01-10_unanswered.png","screenshots/se-01-10_revealed.png","تمرین رایگان آیین‌نامه در رانندگی‌یار: | ranandegiyar.info","جوابش رو بلدی؟ 🤔 |  | مفهوم خط منقطع چیست؟ |  | ✅ پاسخ: حرکت با احتیاط و در صورت لزوم توقف می‌نماییم |  | تمرین رایگان آیین‌نامه در رانندگی‌یار: | ranandegiyar.info | #آیین_نامه #گواهینامه #رانندگی‌یار #آموزش_رانندگی #قوانین_رانندگی","#آیین_نامه #گواهینامه #رانندگی‌یار #آموزش_رانندگی #قوانین_رانندگی"
"sb01-007","se-03-23","3","vehicle","درباره‌ی خودروت چقدر می‌دونی؟ 🔧","وظیفه کنیستر چیست؟","از ورود بخارهای بنزین به فضای آزاد جلوگیری می کند.","کنیستر بخارهای بنزین را جذب و نگه‌داری می‌کند تا از ورود آن‌ها به هوای آزاد جلوگیری شود.","screenshots/se-03-23_unanswered.png","screenshots/se-03-23_revealed.png","تمرین رایگان آیین‌نامه در رانندگی‌یار: | ranandegiyar.info","درباره‌ی خودروت چقدر می‌دونی؟ 🔧 |  | وظیفه کنیستر چیست؟ |  | ✅ پاسخ: از ورود بخارهای بنزین به فضای آزاد جلوگیری می کند. |  | تمرین رایگان آیین‌نامه در رانندگی‌یار: | ranandegiyar.info | #آیین_نامه #گواهینامه #رانندگی‌یار #آموزش_رانندگی #فنی_خودرو","#آیین_نامه #گواهینامه #رانندگی‌یار #آموزش_رانندگی #فنی_خودرو"
"sb01-008","se-17-03","17","safety","این نکته‌ی ایمنی رو بلدی؟ ⚠️","کثیف بودن شیشه چراغ ها منجر به چه می شود؟","کاهش شدت روشنایی","کثیف بودن شیشهٔ چراغ‌ها باعث کاهش شدت روشنایی می‌شود و دید راننده و دیده شدن خودرو را کم می‌کند.","screenshots/se-17-03_unanswered.png","screenshots/se-17-03_revealed.png","تمرین رایگان آیین‌نامه در رانندگی‌یار: | ranandegiyar.info","این نکته‌ی ایمنی رو بلدی؟ ⚠️ |  | کثیف بودن شیشه چراغ ها منجر به چه می شود؟ |  | ✅ پاسخ: کاهش شدت روشنایی |  | تمرین رایگان آیین‌نامه در رانندگی‌یار: | ranandegiyar.info | #آیین_نامه #گواهینامه #رانندگی‌یار #آموزش_رانندگی #ایمنی_رانندگی","#آیین_نامه #گواهینامه #رانندگی‌یار #آموزش_رانندگی #ایمنی_رانندگی"
"sb01-009","se-12-04","12","signs","این تابلو رو می‌شناسی؟ 🚦","این تابلو بیانگر چیست؟","دور زدن ممنوع","این تابلوی انتظامی «دور زدن ممنوع» است و انجام حرکت دور زدن در آن محدوده مجاز نیست.","screenshots/se-12-04_unanswered.png","screenshots/se-12-04_revealed.png","تمرین رایگان آیین‌نامه در رانندگی‌یار: | ranandegiyar.info","این تابلو رو می‌شناسی؟ 🚦 |  | این تابلو بیانگر چیست؟ |  | ✅ پاسخ: دور زدن ممنوع |  | تمرین رایگان آیین‌نامه در رانندگی‌یار: | ranandegiyar.info | #آیین_نامه #گواهینامه #رانندگی‌یار #آموزش_رانندگی #تابلو_رانندگی","#آیین_نامه #گواهینامه #رانندگی‌یار #آموزش_رانندگی #تابلو_رانندگی"
"sb01-010","se-11-11","11","rules","جوابش رو بلدی؟ 🤔","کدام گزینه نادرست است؟","رانندگان می توانند ضمن رانندگی، دخانیات استعمال نمایند.","این گزینه نادرست است؛ استعمال دخانیات حین رانندگی به‌دلیل کاهش تمرکز و ایجاد حواس‌پرتی مجاز نیست.","screenshots/se-11-11_unanswered.png","screenshots/se-11-11_revealed.png","تمرین رایگان آیین‌نامه در رانندگی‌یار: | ranandegiyar.info","جوابش رو بلدی؟ 🤔 |  | کدام گزینه نادرست است؟ |  | ✅ پاسخ: رانندگان می توانند ضمن رانندگی، دخانیات استعمال نمایند. |  | تمرین رایگان آیین‌نامه در رانندگی‌یار: | ranandegiyar.info | #آیین_نامه #گواهینامه #رانندگی‌یار #آموزش_رانندگی #قوانین_رانندگی","#آیین_نامه #گواهینامه #رانندگی‌یار #آموزش_رانندگی #قوانین_رانندگی"
"sb01-011","se-02-26","2","vehicle","درباره‌ی خودروت چقدر می‌دونی؟ 🔧","وظیفهٔ بافلر در اتومبیل چیست؟","کاهش صدای ناهنجار موتور","بافلر (صداخفه‌کن) در مسیر اگزوز قرار دارد و وظیفهٔ آن کاهش صدای ناهنجار خروجی موتور است.","screenshots/se-02-26_unanswered.png","screenshots/se-02-26_revealed.png","تمرین رایگان آیین‌نامه در رانندگی‌یار: | ranandegiyar.info","درباره‌ی خودروت چقدر می‌دونی؟ 🔧 |  | وظیفهٔ بافلر در اتومبیل چیست؟ |  | ✅ پاسخ: کاهش صدای ناهنجار موتور |  | تمرین رایگان آیین‌نامه در رانندگی‌یار: | ranandegiyar.info | #آیین_نامه #گواهینامه #رانندگی‌یار #آموزش_رانندگی #فنی_خودرو","#آیین_نامه #گواهینامه #رانندگی‌یار #آموزش_رانندگی #فنی_خودرو"
"sb01-012","se-15-24","15","signs","این تابلو رو می‌شناسی؟ 🚦","این تابلو بیانگر چیست؟","پایان تونل","این تابلو «پایان تونل» را نشان می‌دهد و اعلام می‌کند که خودرو از تونل خارج شده است.","screenshots/se-15-24_unanswered.png","screenshots/se-15-24_revealed.png","تمرین رایگان آیین‌نامه در رانندگی‌یار: | ranandegiyar.info","این تابلو رو می‌شناسی؟ 🚦 |  | این تابلو بیانگر چیست؟ |  | ✅ پاسخ: پایان تونل |  | تمرین رایگان آیین‌نامه در رانندگی‌یار: | ranandegiyar.info | #آیین_نامه #گواهینامه #رانندگی‌یار #آموزش_رانندگی #تابلو_رانندگی","#آیین_نامه #گواهینامه #رانندگی‌یار #آموزش_رانندگی #تابلو_رانندگی"
