"video_group_id","question_id","category","question","correct_answer","old_short_explanation","improved_explanation_voice_text","question_voice_text","suggested_question_filename","suggested_explanation_filename"
"G01","se-01-03","signs","نام این تابلو چیست؟","گردش به راست ممنوع","دایرهٔ قرمز نشانهٔ ممنوعیت است و پیکانِ رو به راستِ خط‌خورده یعنی گردش به راست ممنوع.","گزینه صحیح، «گردش به راست ممنوع» است. دایرهٔ قرمز نشانهٔ ممنوعیت است و پیکانِ رو به راستِ خط‌خورده یعنی گردش به راست ممنوع.","این تابلو را می‌شناسی؟ نام این تابلو چیست؟","se-01-03_question.mp3","se-01-03_explanation.mp3"
"G01","se-03-13","rules","حداکثر سرعت در آزاد راه ها چند کیلومتر است؟","۱۲۰ کیلومتر","حداکثر سرعت مجاز در آزادراه‌ها ۱۲۰ کیلومتر در ساعت است.","گزینه صحیح، «۱۲۰ کیلومتر» است. حداکثر سرعت مجاز در آزادراه‌ها ۱۲۰ کیلومتر در ساعت است.","به این سؤال آیین‌نامه جواب بده: حداکثر سرعت در آزاد راه ها چند کیلومتر است؟","se-03-13_question.mp3","se-03-13_explanation.mp3"
"G01","se-14-09","signs","مفهوم این تابلو چیست؟","ایستگاه اتوبوس","این تابلو «ایستگاه اتوبوس» را نشان می‌دهد و محل توقف و سوار و پیاده شدن مسافران اتوبوس را مشخص می‌کند.","گزینه صحیح، «ایستگاه اتوبوس» است. این تابلو «ایستگاه اتوبوس» را نشان می‌دهد و محل توقف و سوار و پیاده شدن مسافران اتوبوس را مشخص می‌کند.","این تابلو را می‌شناسی؟ مفهوم این تابلو چیست؟","se-14-09_question.mp3","se-14-09_explanation.mp3"
"G02","se-12-04","signs","این تابلو بیانگر چیست؟","دور زدن ممنوع","این تابلوی انتظامی «دور زدن ممنوع» است و انجام حرکت دور زدن در آن محدوده مجاز نیست.","گزینه صحیح، «دور زدن ممنوع» است. این تابلوی انتظامی «دور زدن ممنوع» است و انجام حرکت دور زدن در آن محدوده مجاز نیست.","این تابلو را می‌شناسی؟ این تابلو بیانگر چیست؟","se-12-04_question.mp3","se-12-04_explanation.mp3"
"G02","se-16-03","rules","کدام یک ازموارد زیر ، مفهوم چراغ قرمز می باشد؟","این چراغ به معنی توقف می باشد و با دیدن آن باید پشت خط ایست","چراغ قرمز به معنای توقف است و راننده باید با دیدن آن پشت خط ایست به‌طور کامل توقف کند.","گزینه صحیح، «این چراغ به معنی توقف می باشد و با دیدن آن باید پشت خط ایست» است. چراغ قرمز به معنای توقف است و راننده باید با دیدن آن پشت خط ایست به‌طور کامل توقف کند.","به این سؤال آیین‌نامه جواب بده: کدام یک ازموارد زیر ، مفهوم چراغ قرمز می باشد؟","se-16-03_question.mp3","se-16-03_explanation.mp3"
"G02","se-01-17","vehicle","سوئیچ چند حالت دارد؟","۴ حالت","سوئیچ خودرو چهار حالت دارد: بسته (قفل)، تجهیزات برقی، باز (روشن) و استارت.","گزینه صحیح، «۴ حالت» است. سوئیچ خودرو چهار حالت دارد: بسته (قفل)، تجهیزات برقی، باز (روشن) و استارت.","به این سؤال آیین‌نامه جواب بده: سوئیچ چند حالت دارد؟","se-01-17_question.mp3","se-01-17_explanation.mp3"
"G03","se-09-05","signs","مفهوم این تابلو چیست؟","عبور سواری ممنوع","این تابلو «عبور سواری ممنوع» را اعلام می‌کند و تردد خودروهای سواری در آن مسیر مجاز نیست.","گزینه صحیح، «عبور سواری ممنوع» است. این تابلو «عبور سواری ممنوع» را اعلام می‌کند و تردد خودروهای سواری در آن مسیر مجاز نیست.","این تابلو را می‌شناسی؟ مفهوم این تابلو چیست؟","se-09-05_question.mp3","se-09-05_explanation.mp3"
"G03","se-03-27","firstaid","در برخورد با یک مصدوم بیهوش مهم ترین اقدام چیست؟","باز کردن راه تنفسی و حفظ گردش خون","در برخورد با مصدوم بیهوش، مهم‌ترین اقدام باز نگه‌داشتن راه تنفسی و حفظ گردش خون اوست.","گزینه صحیح، «باز کردن راه تنفسی و حفظ گردش خون» است. در برخورد با مصدوم بیهوش، مهم‌ترین اقدام باز نگه‌داشتن راه تنفسی و حفظ گردش خون اوست.","به این سؤال آیین‌نامه جواب بده: در برخورد با یک مصدوم بیهوش مهم ترین اقدام چیست؟","se-03-27_question.mp3","se-03-27_explanation.mp3"
"G03","se-11-05","signs","مفهوم این تابلو چیست؟","پارکینگ مخصوص افراد معلول","این تابلو «پارکینگ مخصوص افراد معلول» را نشان می‌دهد و این جایگاه ویژهٔ توقف خودروهای دارای معلولیت است.","گزینه صحیح، «پارکینگ مخصوص افراد معلول» است. این تابلو «پارکینگ مخصوص افراد معلول» را نشان می‌دهد و این جایگاه ویژهٔ توقف خودروهای دارای معلولیت است.","این تابلو را می‌شناسی؟ مفهوم این تابلو چیست؟","se-11-05_question.mp3","se-11-05_explanation.mp3"
"G04","se-07-03","signs","این تابلو بیانگر چیست؟","شروع محل پیاده روی","این تابلو «شروع محل پیاده‌روی» را اعلام می‌کند؛ یعنی ابتدای مسیری که ویژهٔ تردد عابران پیاده است.","گزینه صحیح، «شروع محل پیاده روی» است. این تابلو «شروع محل پیاده‌روی» را اعلام می‌کند. یعنی ابتدای مسیری که ویژهٔ تردد عابران پیاده است.","این تابلو را می‌شناسی؟ این تابلو بیانگر چیست؟","se-07-03_question.mp3","se-07-03_explanation.mp3"
