"video_group_id","video_title","video_hook","intro_duration_sec","estimated_duration_sec","tick_sfx_duration","ding_sfx_marker","final_cta_text","caption","hashtags","q1_question_id","q1_category","q1_is_image","q1_unanswered_png","q1_revealed_png","q1_question_voice_text","q1_question_voice_text_tts","q1_explanation_voice_text","q1_explanation_voice_text_tts","q1_include_options","q2_question_id","q2_category","q2_is_image","q2_unanswered_png","q2_revealed_png","q2_question_voice_text","q2_question_voice_text_tts","q2_explanation_voice_text","q2_explanation_voice_text_tts","q2_include_options","q3_question_id","q3_category","q3_is_image","q3_unanswered_png","q3_revealed_png","q3_question_voice_text","q3_question_voice_text_tts","q3_explanation_voice_text","q3_explanation_voice_text_tts","q3_include_options"
"G01","تابلوها و سرعت مجاز","این‌ها رو می‌شناسی؟ 🚦","2","39","3","صدای «دینگ» درست روی کاتِ تصویرِ بدون‌پاسخ ← تصویرِ پاسخ (بعد از ۳ ثانیه تیک‌تاک)","تمرین رایگان آیین‌نامه در رانندگی‌یار: | ranandegiyar.info","این‌ها رو می‌شناسی؟ 🚦 |  | ۳ سؤال آیین‌نامه در این ویدیو 👇 |  | تمرین رایگان آیین‌نامه در رانندگی‌یار: | ranandegiyar.info | #آیین_نامه #گواهینامه #رانندگی‌یار #آموزش_رانندگی #تابلو_رانندگی #قوانین_رانندگی","#آیین_نامه #گواهینامه #رانندگی‌یار #آموزش_رانندگی #تابلو_رانندگی #قوانین_رانندگی","se-01-03","signs","true","screenshots/se-01-03_unanswered.png","screenshots/se-01-03_revealed.png","این تابلو را می‌شناسی؟ نام این تابلو چیست؟","این تابلو را می‌شناسی؟ نام این تابلو چیست؟","گزینه صحیح، «گردش به راست ممنوع» است. دایرهٔ قرمز نشانهٔ ممنوعیت است و پیکانِ رو به راستِ خط‌خورده یعنی گردش به راست ممنوع.","گزینه صحیح، «گردش به راست ممنوع» است. دایرهٔ قرمز نشانهٔ ممنوعیت است و پیکانِ رو به راستِ خط‌خورده یعنی گردش به راست ممنوع.","false","se-03-13","rules","false","screenshots/se-03-13_unanswered.png","screenshots/se-03-13_revealed.png","به این سؤال آیین‌نامه جواب بده: حداکثر سرعت در آزاد راه ها چند کیلومتر است؟","به این سؤال آیین‌نامه جواب بده: حداکثر سرعت در آزاد راه ها چند کیلومتر است؟","گزینه صحیح، «۱۲۰ کیلومتر» است. حداکثر سرعت مجاز در آزادراه‌ها ۱۲۰ کیلومتر در ساعت است.","گزینه صحیح، «صد و بیست کیلومتر» است. حداکثر سرعت مجاز در آزادراه‌ها صد و بیست کیلومتر در ساعت است.","false","se-14-09","signs","true","screenshots/se-14-09_unanswered.png","screenshots/se-14-09_revealed.png","این تابلو را می‌شناسی؟ مفهوم این تابلو چیست؟","این تابلو را می‌شناسی؟ مفهوم این تابلو چیست؟","گزینه صحیح، «ایستگاه اتوبوس» است. این تابلو «ایستگاه اتوبوس» را نشان می‌دهد و محل توقف و سوار و پیاده شدن مسافران اتوبوس را مشخص می‌کند.","گزینه صحیح، «ایستگاه اتوبوس» است. این تابلو «ایستگاه اتوبوس» را نشان می‌دهد و محل توقف و سوار و پیاده شدن مسافران اتوبوس را مشخص می‌کند.","false"
"G02","تابلو، چراغ و خودرو","چند تا رو بلدی؟ 🤔","2","39","3","صدای «دینگ» درست روی کاتِ تصویرِ بدون‌پاسخ ← تصویرِ پاسخ (بعد از ۳ ثانیه تیک‌تاک)","تمرین رایگان آیین‌نامه در رانندگی‌یار: | ranandegiyar.info","چند تا رو بلدی؟ 🤔 |  | ۳ سؤال آیین‌نامه در این ویدیو 👇 |  | تمرین رایگان آیین‌نامه در رانندگی‌یار: | ranandegiyar.info | #آیین_نامه #گواهینامه #رانندگی‌یار #آموزش_رانندگی #تابلو_رانندگی #قوانین_رانندگی #فنی_خودرو","#آیین_نامه #گواهینامه #رانندگی‌یار #آموزش_رانندگی #تابلو_رانندگی #قوانین_رانندگی #فنی_خودرو","se-12-04","signs","true","screenshots/se-12-04_unanswered.png","screenshots/se-12-04_revealed.png","این تابلو را می‌شناسی؟ این تابلو بیانگر چیست؟","این تابلو را می‌شناسی؟ این تابلو بیانگر چیست؟","گزینه صحیح، «دور زدن ممنوع» است. این تابلوی انتظامی «دور زدن ممنوع» است و انجام حرکت دور زدن در آن محدوده مجاز نیست.","گزینه صحیح، «دور زدن ممنوع» است. این تابلوی انتظامی «دور زدن ممنوع» است و انجام حرکت دور زدن در آن محدوده مجاز نیست.","false","se-16-03","rules","false","screenshots/se-16-03_unanswered.png","screenshots/se-16-03_revealed.png","به این سؤال آیین‌نامه جواب بده: کدام یک ازموارد زیر ، مفهوم چراغ قرمز می باشد؟","به این سؤال آیین‌نامه جواب بده: کدام یک ازموارد زیر ، مفهوم چراغ قرمز می باشد؟","گزینه صحیح، «این چراغ به معنی توقف می باشد و با دیدن آن باید پشت خط ایست» است. چراغ قرمز به معنای توقف است و راننده باید با دیدن آن پشت خط ایست به‌طور کامل توقف کند.","گزینه صحیح، «این چراغ به معنی توقف می باشد و با دیدن آن باید پشت خط ایست» است. چراغ قرمز به معنای توقف است و راننده باید با دیدن آن پشت خط ایست به‌طور کامل توقف کند.","false","se-01-17","vehicle","false","screenshots/se-01-17_unanswered.png","screenshots/se-01-17_revealed.png","به این سؤال آیین‌نامه جواب بده: سوئیچ چند حالت دارد؟","به این سؤال آیین‌نامه جواب بده: سوئیچ چند حالت دارد؟","گزینه صحیح، «۴ حالت» است. سوئیچ خودرو چهار حالت دارد: بسته (قفل)، تجهیزات برقی، باز (روشن) و استارت.","گزینه صحیح، «چهار حالت» است. سوئیچ خودرو چهار حالت دارد: بسته (قفل)، تجهیزات برقی، باز (روشن) و استارت.","false"
"G03","تابلو و کمک‌های اولیه","این نکته‌ها مهم‌اند 🚑","2","39","3","صدای «دینگ» درست روی کاتِ تصویرِ بدون‌پاسخ ← تصویرِ پاسخ (بعد از ۳ ثانیه تیک‌تاک)","تمرین رایگان آیین‌نامه در رانندگی‌یار: | ranandegiyar.info","این نکته‌ها مهم‌اند 🚑 |  | ۳ سؤال آیین‌نامه در این ویدیو 👇 |  | تمرین رایگان آیین‌نامه در رانندگی‌یار: | ranandegiyar.info | #آیین_نامه #گواهینامه #رانندگی‌یار #آموزش_رانندگی #تابلو_رانندگی #کمک_های_اولیه","#آیین_نامه #گواهینامه #رانندگی‌یار #آموزش_رانندگی #تابلو_رانندگی #کمک_های_اولیه","se-09-05","signs","true","screenshots/se-09-05_unanswered.png","screenshots/se-09-05_revealed.png","این تابلو را می‌شناسی؟ مفهوم این تابلو چیست؟","این تابلو را می‌شناسی؟ مفهوم این تابلو چیست؟","گزینه صحیح، «عبور سواری ممنوع» است. این تابلو «عبور سواری ممنوع» را اعلام می‌کند و تردد خودروهای سواری در آن مسیر مجاز نیست.","گزینه صحیح، «عبور سواری ممنوع» است. این تابلو «عبور سواری ممنوع» را اعلام می‌کند و تردد خودروهای سواری در آن مسیر مجاز نیست.","false","se-03-27","firstaid","false","screenshots/se-03-27_unanswered.png","screenshots/se-03-27_revealed.png","به این سؤال آیین‌نامه جواب بده: در برخورد با یک مصدوم بیهوش مهم ترین اقدام چیست؟","به این سؤال آیین‌نامه جواب بده: در برخورد با یک مصدوم بیهوش مهم ترین اقدام چیست؟","گزینه صحیح، «باز کردن راه تنفسی و حفظ گردش خون» است. در برخورد با مصدوم بیهوش، مهم‌ترین اقدام باز نگه‌داشتن راه تنفسی و حفظ گردش خون اوست.","گزینه صحیح، «باز کردن راه تنفسی و حفظ گردش خون» است. در برخورد با مصدوم بیهوش، مهم‌ترین اقدام باز نگه‌داشتن راه تنفسی و حفظ گردش خون اوست.","false","se-11-05","signs","true","screenshots/se-11-05_unanswered.png","screenshots/se-11-05_revealed.png","این تابلو را می‌شناسی؟ مفهوم این تابلو چیست؟","این تابلو را می‌شناسی؟ مفهوم این تابلو چیست؟","گزینه صحیح، «پارکینگ مخصوص افراد معلول» است. این تابلو «پارکینگ مخصوص افراد معلول» را نشان می‌دهد و این جایگاه ویژهٔ توقف خودروهای دارای معلولیت است.","گزینه صحیح، «پارکینگ مخصوص افراد معلول» است. این تابلو «پارکینگ مخصوص افراد معلول» را نشان می‌دهد و این جایگاه ویژهٔ توقف خودروهای دارای معلولیت است.","false"
"G04","تابلو، خط‌کشی و فنی","جوابش رو بلدی؟ 🚦","2","39","3","صدای «دینگ» درست روی کاتِ تصویرِ بدون‌پاسخ ← تصویرِ پاسخ (بعد از ۳ ثانیه تیک‌تاک)","تمرین رایگان آیین‌نامه در رانندگی‌یار: | ranandegiyar.info","جوابش رو بلدی؟ 🚦 |  | ۳ سؤال آیین‌نامه در این ویدیو 👇 |  | تمرین رایگان آیین‌نامه در رانندگی‌یار: | ranandegiyar.info | #آیین_نامه #گواهینامه #رانندگی‌یار #آموزش_رانندگی #تابلو_رانندگی #قوانین_رانندگی #فنی_خودرو","#آیین_نامه #گواهینامه #رانندگی‌یار #آموزش_رانندگی #تابلو_رانندگی #قوانین_رانندگی #فنی_خودرو","se-07-03","signs","true","screenshots/se-07-03_unanswered.png","screenshots/se-07-03_revealed.png","این تابلو را می‌شناسی؟ این تابلو بیانگر چیست؟","این تابلو را می‌شناسی؟ این تابلو بیانگر چیست؟","گزینه صحیح، «شروع محل پیاده روی» است. این تابلو «شروع محل پیاده‌روی» را اعلام می‌کند. یعنی ابتدای مسیری که ویژهٔ تردد عابران پیاده است.","گزینه صحیح، «شروع محل پیاده روی» است. این تابلو «شروع محل پیاده‌روی» را اعلام می‌کند. یعنی ابتدای مسیری که ویژهٔ تردد عابران پیاده است.","false","se-01-10","rules","false","screenshots/se-01-10_unanswered.png","screenshots/se-01-10_revealed.png","به این سؤال آیین‌نامه جواب بده: مفهوم خط منقطع چیست؟","به این سؤال آیین‌نامه جواب بده: مفهوم خط منقطع چیست؟","گزینه صحیح، «حرکت با احتیاط و در صورت لزوم توقف می‌نماییم» است. خط منقطع عبور را به‌کلی ممنوع نمی‌کند. یعنی باید با احتیاط حرکت کرد و هر جا لازم شد توقف نمود.","گزینه صحیح، «حرکت با احتیاط و در صورت لزوم توقف می‌نماییم» است. خط منقطع عبور را به‌کلی ممنوع نمی‌کند. یعنی باید با احتیاط حرکت کرد و هر جا لازم شد توقف نمود.","false","se-03-23","vehicle","false","screenshots/se-03-23_unanswered.png","screenshots/se-03-23_revealed.png","به این سؤال آیین‌نامه جواب بده: وظیفه کنیستر چیست؟","به این سؤال آیین‌نامه جواب بده: وظیفه کنیستر چیست؟","گزینه صحیح، «از ورود بخارهای بنزین به فضای آزاد جلوگیری می کند» است. کنیستر بخارهای بنزین را جذب و نگه‌داری می‌کند تا از ورود آن‌ها به هوای آزاد جلوگیری شود.","گزینه صحیح، «از ورود بخارهای بنزین به فضای آزاد جلوگیری می کند» است. کنیستر بخارهای بنزین را جذب و نگه‌داری می‌کند تا از ورود آن‌ها به هوای آزاد جلوگیری شود.","false"
"G05","تابلوها و قوانین مهم","این‌ها رو اشتباه نزن! 🚦","2","39","3","صدای «دینگ» درست روی کاتِ تصویرِ بدون‌پاسخ ← تصویرِ پاسخ (بعد از ۳ ثانیه تیک‌تاک)","تمرین رایگان آیین‌نامه در رانندگی‌یار: | ranandegiyar.info","این‌ها رو اشتباه نزن! 🚦 |  | ۳ سؤال آیین‌نامه در این ویدیو 👇 |  | تمرین رایگان آیین‌نامه در رانندگی‌یار: | ranandegiyar.info | #آیین_نامه #گواهینامه #رانندگی‌یار #آموزش_رانندگی #تابلو_رانندگی #قوانین_رانندگی","#آیین_نامه #گواهینامه #رانندگی‌یار #آموزش_رانندگی #تابلو_رانندگی #قوانین_رانندگی","se-03-04","signs","true","screenshots/se-03-04_unanswered.png","screenshots/se-03-04_revealed.png","این تابلو را می‌شناسی؟ این تابلو بیانگر چیست؟","این تابلو را می‌شناسی؟ این تابلو بیانگر چیست؟","گزینه صحیح، «خیابان اصلی» است. لوزی زرد با حاشیهٔ سفید، تابلوی «راه اصلی» (خیابان اصلی) است. یعنی در طول این مسیر حق تقدم با توست.","گزینه صحیح، «خیابان اصلی» است. لوزی زرد با حاشیهٔ سفید، تابلوی «راه اصلی» (خیابان اصلی) است. یعنی در طول این مسیر حق تقدم با توست.","false","se-11-11","rules","false","screenshots/se-11-11_unanswered.png","screenshots/se-11-11_revealed.png","به این سؤال آیین‌نامه جواب بده: کدام گزینه نادرست است؟","به این سؤال آیین‌نامه جواب بده: کدام گزینه نادرست است؟","گزینه نادرست، «رانندگان می توانند ضمن رانندگی، دخانیات استعمال نمایند» است. استعمال دخانیات حین رانندگی به‌دلیل کاهش تمرکز و ایجاد حواس‌پرتی مجاز نیست.","گزینه نادرست، «رانندگان می توانند ضمن رانندگی، دخانیات استعمال نمایند» است. استعمال دخانیات حین رانندگی به‌دلیل کاهش تمرکز و ایجاد حواس‌پرتی مجاز نیست.","false","se-08-03","signs","true","screenshots/se-08-03_unanswered.png","screenshots/se-08-03_revealed.png","این تابلو را می‌شناسی؟ این تابلو بیانگر چیست؟","این تابلو را می‌شناسی؟ این تابلو بیانگر چیست؟","گزینه صحیح، «چاله» است. این تابلوی هشدار وجود «چاله» در سطح راه را اعلام می‌کند تا راننده سرعت را کاهش داده و از آسیب به خودرو جلوگیری کند.","گزینه صحیح، «چاله» است. این تابلوی هشدار وجود «چاله» در سطح راه را اعلام می‌کند تا راننده سرعت را کاهش داده و از آسیب به خودرو جلوگیری کند.","false"
"G06","تابلو، ایمنی و خودرو","چقدر بلدی؟ 🤔","2","39","3","صدای «دینگ» درست روی کاتِ تصویرِ بدون‌پاسخ ← تصویرِ پاسخ (بعد از ۳ ثانیه تیک‌تاک)","تمرین رایگان آیین‌نامه در رانندگی‌یار: | ranandegiyar.info","چقدر بلدی؟ 🤔 |  | ۳ سؤال آیین‌نامه در این ویدیو 👇 |  | تمرین رایگان آیین‌نامه در رانندگی‌یار: | ranandegiyar.info | #آیین_نامه #گواهینامه #رانندگی‌یار #آموزش_رانندگی #تابلو_رانندگی #قوانین_رانندگی #فنی_خودرو","#آیین_نامه #گواهینامه #رانندگی‌یار #آموزش_رانندگی #تابلو_رانندگی #قوانین_رانندگی #فنی_خودرو","se-02-06","signs","true","screenshots/se-02-06_unanswered.png","screenshots/se-02-06_revealed.png","این تابلو را می‌شناسی؟ این تابلو بیانگر چیست؟","این تابلو را می‌شناسی؟ این تابلو بیانگر چیست؟","گزینه صحیح، «تراکم ترافیک» است. تصویر چند خودرو پشت سر هم روی تابلوی مثلثی هشدار یعنی احتمال تراکم ترافیک در جلو. آمادهٔ کاهش سرعت باش.","گزینه صحیح، «تراکم ترافیک» است. تصویر چند خودرو پشت سر هم روی تابلوی مثلثی هشدار یعنی احتمال تراکم ترافیک در جلو. آمادهٔ کاهش سرعت باش.","false","se-12-18","rules","false","screenshots/se-12-18_unanswered.png","screenshots/se-12-18_revealed.png","به این سؤال آیین‌نامه جواب بده: تاثیرات مواد مخدر چیست؟","به این سؤال آیین‌نامه جواب بده: تاثیرات مواد مخدر چیست؟","گزینه صحیح، «اعتماد به نفس کاذب-کاهش هوشیاری» است. مواد مخدر با ایجاد اعتماد به نفس کاذب و کاهش هوشیاری، توان تشخیص خطر و واکنش به‌موقع راننده را به‌شدت مختل می‌کنند.","گزینه صحیح، «اعتماد به نفس کاذب-کاهش هوشیاری» است. مواد مخدر با ایجاد اعتماد به نفس کاذب و کاهش هوشیاری، توان تشخیص خطر و واکنش به‌موقع راننده را به‌شدت مختل می‌کنند.","false","se-02-26","vehicle","false","screenshots/se-02-26_unanswered.png","screenshots/se-02-26_revealed.png","به این سؤال آیین‌نامه جواب بده: وظیفهٔ بافلر در اتومبیل چیست؟","به این سؤال آیین‌نامه جواب بده: وظیفهٔ بافلر در اتومبیل چیست؟","گزینه صحیح، «کاهش صدای ناهنجار موتور» است. بافلر (صداخفه‌کن) در مسیر اگزوز قرار دارد و وظیفهٔ آن کاهش صدای ناهنجار خروجی موتور است.","گزینه صحیح، «کاهش صدای ناهنجار موتور» است. بافلر (صداخفه‌کن) در مسیر اگزوز قرار دارد و وظیفهٔ آن کاهش صدای ناهنجار خروجی موتور است.","false"
"G07","تابلو و ایمنی رانندگی","این‌ها رو دیده بودی؟ 🚦","2","39","3","صدای «دینگ» درست روی کاتِ تصویرِ بدون‌پاسخ ← تصویرِ پاسخ (بعد از ۳ ثانیه تیک‌تاک)","تمرین رایگان آیین‌نامه در رانندگی‌یار: | ranandegiyar.info","این‌ها رو دیده بودی؟ 🚦 |  | ۳ سؤال آیین‌نامه در این ویدیو 👇 |  | تمرین رایگان آیین‌نامه در رانندگی‌یار: | ranandegiyar.info | #آیین_نامه #گواهینامه #رانندگی‌یار #آموزش_رانندگی #تابلو_رانندگی #ایمنی_رانندگی","#آیین_نامه #گواهینامه #رانندگی‌یار #آموزش_رانندگی #تابلو_رانندگی #ایمنی_رانندگی","se-04-02","signs","true","screenshots/se-04-02_unanswered.png","screenshots/se-04-02_revealed.png","این تابلو را می‌شناسی؟ عنوان این تابلو چیست؟","این تابلو را می‌شناسی؟ عنوان این تابلو چیست؟","گزینه صحیح، «پل متحرک» است. این تابلوی هشدار رانندگان را از وجود پل متحرک در پیش رو آگاه می‌کند تا سرعت خود را کاهش دهند و آمادهٔ توقف باشند.","گزینه صحیح، «پل متحرک» است. این تابلوی هشدار رانندگان را از وجود پل متحرک در پیش رو آگاه می‌کند تا سرعت خود را کاهش دهند و آمادهٔ توقف باشند.","false","se-17-03","safety","false","screenshots/se-17-03_unanswered.png","screenshots/se-17-03_revealed.png","به این سؤال آیین‌نامه جواب بده: کثیف بودن شیشه چراغ ها منجر به چه می شود؟","به این سؤال آیین‌نامه جواب بده: کثیف بودن شیشه چراغ ها منجر به چه می شود؟","گزینه صحیح، «کاهش شدت روشنایی» است. کثیف بودن شیشهٔ چراغ‌ها باعث کاهش شدت روشنایی می‌شود و دید راننده و دیده شدن خودرو را کم می‌کند.","گزینه صحیح، «کاهش شدت روشنایی» است. کثیف بودن شیشهٔ چراغ‌ها باعث کاهش شدت روشنایی می‌شود و دید راننده و دیده شدن خودرو را کم می‌کند.","false","se-10-04","signs","true","screenshots/se-10-04_unanswered.png","screenshots/se-10-04_revealed.png","این تابلو را می‌شناسی؟ این تابلو بیانگر چیست؟","این تابلو را می‌شناسی؟ این تابلو بیانگر چیست؟","گزینه صحیح، «سرعت توصیه شده» است. این تابلو «سرعت توصیه‌شده» را نشان می‌دهد. یعنی سرعت مناسب پیشنهادی برای آن مسیر که جنبهٔ راهنمایی دارد نه الزام.","گزینه صحیح، «سرعت توصیه شده» است. این تابلو «سرعت توصیه‌شده» را نشان می‌دهد. یعنی سرعت مناسب پیشنهادی برای آن مسیر که جنبهٔ راهنمایی دارد نه الزام.","false"
"G08","تابلو، قانون و فنی خودرو","جوابش رو می‌دونی؟ 🔧","2","39","3","صدای «دینگ» درست روی کاتِ تصویرِ بدون‌پاسخ ← تصویرِ پاسخ (بعد از ۳ ثانیه تیک‌تاک)","تمرین رایگان آیین‌نامه در رانندگی‌یار: | ranandegiyar.info","جوابش رو می‌دونی؟ 🔧 |  | ۳ سؤال آیین‌نامه در این ویدیو 👇 |  | تمرین رایگان آیین‌نامه در رانندگی‌یار: | ranandegiyar.info | #آیین_نامه #گواهینامه #رانندگی‌یار #آموزش_رانندگی #تابلو_رانندگی #قوانین_رانندگی #فنی_خودرو","#آیین_نامه #گواهینامه #رانندگی‌یار #آموزش_رانندگی #تابلو_رانندگی #قوانین_رانندگی #فنی_خودرو","se-15-24","signs","true","screenshots/se-15-24_unanswered.png","screenshots/se-15-24_revealed.png","این تابلو را می‌شناسی؟ این تابلو بیانگر چیست؟","این تابلو را می‌شناسی؟ این تابلو بیانگر چیست؟","گزینه صحیح، «پایان تونل» است. این تابلو «پایان تونل» را نشان می‌دهد و اعلام می‌کند که خودرو از تونل خارج شده است.","گزینه صحیح، «پایان تونل» است. این تابلو «پایان تونل» را نشان می‌دهد و اعلام می‌کند که خودرو از تونل خارج شده است.","false","se-13-11","rules","false","screenshots/se-13-11_unanswered.png","screenshots/se-13-11_revealed.png","به این سؤال آیین‌نامه جواب بده: حمل مسافر در قسمت بار....؟","به این سؤال آیین‌نامه جواب بده: حمل مسافر در قسمت بار....؟","گزینه صحیح، «ممنوع است» است. حمل مسافر در قسمت بار وسیلهٔ نقلیه ممنوع است، زیرا این بخش فاقد ایمنی و تجهیزات لازم برای محافظت از سرنشین است.","گزینه صحیح، «ممنوع است» است. حمل مسافر در قسمت بار وسیلهٔ نقلیه ممنوع است، زیرا این بخش فاقد ایمنی و تجهیزات لازم برای محافظت از سرنشین است.","false","se-12-25","vehicle","false","screenshots/se-12-25_unanswered.png","screenshots/se-12-25_revealed.png","به این سؤال آیین‌نامه جواب بده: خودرو دیفرانسیل جلو است ینی چه؟","به این سؤال آیین‌نامه جواب بده: خودرو دیفرانسیل جلو است ینی چه؟","گزینه صحیح، «چرخ های جلو محرک هستند» است. خودروی دیفرانسیل جلو یعنی نیروی موتور به چرخ‌های جلو منتقل می‌شود و چرخ‌های جلو محرک هستند.","گزینه صحیح، «چرخ های جلو محرک هستند» است. خودروی دیفرانسیل جلو یعنی نیروی موتور به چرخ‌های جلو منتقل می‌شود و چرخ‌های جلو محرک هستند.","false"
"G09","تابلو و قوانین رانندگی","این قانون‌ها رو بلدی؟ 🚦","2","39","3","صدای «دینگ» درست روی کاتِ تصویرِ بدون‌پاسخ ← تصویرِ پاسخ (بعد از ۳ ثانیه تیک‌تاک)","تمرین رایگان آیین‌نامه در رانندگی‌یار: | ranandegiyar.info","این قانون‌ها رو بلدی؟ 🚦 |  | ۳ سؤال آیین‌نامه در این ویدیو 👇 |  | تمرین رایگان آیین‌نامه در رانندگی‌یار: | ranandegiyar.info | #آیین_نامه #گواهینامه #رانندگی‌یار #آموزش_رانندگی #تابلو_رانندگی #قوانین_رانندگی","#آیین_نامه #گواهینامه #رانندگی‌یار #آموزش_رانندگی #تابلو_رانندگی #قوانین_رانندگی","se-06-02","signs","true","screenshots/se-06-02_unanswered.png","screenshots/se-06-02_revealed.png","این تابلو را می‌شناسی؟ این تابلو بیانگر چیست؟","این تابلو را می‌شناسی؟ این تابلو بیانگر چیست؟","گزینه صحیح، «میدان» است. این تابلوی اخباری وجود «میدان» در پیش رو را اعلام می‌کند تا راننده برای کاهش سرعت و رعایت حق تقدم درون میدان آماده شود.","گزینه صحیح، «میدان» است. این تابلوی اخباری وجود «میدان» در پیش رو را اعلام می‌کند تا راننده برای کاهش سرعت و رعایت حق تقدم درون میدان آماده شود.","false","se-17-17","rules","false","screenshots/se-17-17_unanswered.png","screenshots/se-17-17_revealed.png","به این سؤال آیین‌نامه جواب بده: کدامیک از موارد زیر صحیح است؟","به این سؤال آیین‌نامه جواب بده: کدامیک از موارد زیر صحیح است؟","گزینه صحیح، «حمل مسافر در قسمت بار یا صندوق عقب ممنوع است» است. حمل مسافر در قسمت بار یا صندوق عقب ممنوع است، زیرا این بخش فاقد ایمنی و تجهیزات لازم برای محافظت از سرنشین است.","گزینه صحیح، «حمل مسافر در قسمت بار یا صندوق عقب ممنوع است» است. حمل مسافر در قسمت بار یا صندوق عقب ممنوع است، زیرا این بخش فاقد ایمنی و تجهیزات لازم برای محافظت از سرنشین است.","false","se-02-07","rules","false","screenshots/se-02-07_unanswered.png","screenshots/se-02-07_revealed.png","به این سؤال آیین‌نامه جواب بده: ابطال گواهینامه به چه معناست؟","به این سؤال آیین‌نامه جواب بده: ابطال گواهینامه به چه معناست؟","گزینه صحیح، «سلب اعتبار قانونی گواهینامه» است. ابطال گواهینامه یعنی سلب اعتبار قانونی آن. پس از ابطال، گواهینامه دیگر معتبر نیست و دارنده حق رانندگی ندارد.","گزینه صحیح، «سلب اعتبار قانونی گواهینامه» است. ابطال گواهینامه یعنی سلب اعتبار قانونی آن. پس از ابطال، گواهینامه دیگر معتبر نیست و دارنده حق رانندگی ندارد.","false"
"G10","تابلو، پارک و فنی","چند تا درست جواب می‌دی؟ 🤔","2","39","3","صدای «دینگ» درست روی کاتِ تصویرِ بدون‌پاسخ ← تصویرِ پاسخ (بعد از ۳ ثانیه تیک‌تاک)","تمرین رایگان آیین‌نامه در رانندگی‌یار: | ranandegiyar.info","چند تا درست جواب می‌دی؟ 🤔 |  | ۳ سؤال آیین‌نامه در این ویدیو 👇 |  | تمرین رایگان آیین‌نامه در رانندگی‌یار: | ranandegiyar.info | #آیین_نامه #گواهینامه #رانندگی‌یار #آموزش_رانندگی #تابلو_رانندگی #قوانین_رانندگی","#آیین_نامه #گواهینامه #رانندگی‌یار #آموزش_رانندگی #تابلو_رانندگی #قوانین_رانندگی","se-13-06","signs","true","screenshots/se-13-06_unanswered.png","screenshots/se-13-06_revealed.png","این تابلو را می‌شناسی؟ این تابلو بیانگر چیست؟","این تابلو را می‌شناسی؟ این تابلو بیانگر چیست؟","گزینه صحیح، «عبور گاری ممنوع» است. این تابلوی انتظامی «عبور گاری ممنوع» است و تردد گاری در آن مسیر مجاز نیست.","گزینه صحیح، «عبور گاری ممنوع» است. این تابلوی انتظامی «عبور گاری ممنوع» است و تردد گاری در آن مسیر مجاز نیست.","false","se-14-17","rules","false","screenshots/se-14-17_unanswered.png","screenshots/se-14-17_revealed.png","به این سؤال آیین‌نامه جواب بده: درباره محل پارک خودرو کدام گزینه غلط است؟","به این سؤال آیین‌نامه جواب بده: درباره محل پارک خودرو کدام گزینه غلط است؟","گزینه نادرست، «پارک کردن مقابل درب ورودی ساختمان منازل مجاز است» است. پارک کردن مقابل درب ورودی منازل مجاز نیست، زیرا مانع تردد و دسترسی ساکنان می‌شود.","گزینه نادرست، «پارک کردن مقابل درب ورودی ساختمان منازل مجاز است» است. پارک کردن مقابل درب ورودی منازل مجاز نیست، زیرا مانع تردد و دسترسی ساکنان می‌شود.","false","se-07-21","rules","false","screenshots/se-07-21_unanswered.png","screenshots/se-07-21_revealed.png","به این سؤال آیین‌نامه جواب بده: منظور از چرخ های محرک چیست؟","به این سؤال آیین‌نامه جواب بده: منظور از چرخ های محرک چیست؟","گزینه صحیح، «چرخ هایی هستند که خودرو را به حرکت در می آورند» است. چرخ‌های محرک چرخ‌هایی هستند که نیروی موتور از طریق سیستم انتقال قدرت به آن‌ها می‌رسد و خودرو را به حرکت در می‌آورند.","گزینه صحیح، «چرخ هایی هستند که خودرو را به حرکت در می آورند» است. چرخ‌های محرک چرخ‌هایی هستند که نیروی موتور از طریق سیستم انتقال قدرت به آن‌ها می‌رسد و خودرو را به حرکت در می‌آورند.","false"
